Date,ten_year_t_bill,three_mth_t_bill,cpi_index_seas,pce_chain,fed_funds
1934-01-01,NA,0.72,NA,NA,NA
1934-02-01,NA,0.62,NA,NA,NA
1934-03-01,NA,0.24,NA,NA,NA
1934-04-01,NA,0.15,NA,NA,NA
1934-05-01,NA,0.16,NA,NA,NA
1934-06-01,NA,0.15,NA,NA,NA
1934-07-01,NA,0.15,NA,NA,NA
1934-08-01,NA,0.19,NA,NA,NA
1934-09-01,NA,0.21,NA,NA,NA
1934-10-01,NA,0.27,NA,NA,NA
1934-11-01,NA,0.25,NA,NA,NA
1934-12-01,NA,0.23,NA,NA,NA
1935-01-01,NA,0.20,NA,NA,NA
1935-02-01,NA,0.19,NA,NA,NA
1935-03-01,NA,0.15,NA,NA,NA
1935-04-01,NA,0.15,NA,NA,NA
1935-05-01,NA,0.15,NA,NA,NA
1935-06-01,NA,0.15,NA,NA,NA
1935-07-01,NA,0.15,NA,NA,NA
1935-08-01,NA,0.16,NA,NA,NA
1935-09-01,NA,0.20,NA,NA,NA
1935-10-01,NA,0.20,NA,NA,NA
1935-11-01,NA,0.16,NA,NA,NA
1935-12-01,NA,0.15,NA,NA,NA
1936-01-01,NA,0.20,NA,NA,NA
1936-02-01,NA,0.20,NA,NA,NA
1936-03-01,NA,0.20,NA,NA,NA
1936-04-01,NA,0.20,NA,NA,NA
1936-05-01,NA,0.20,NA,NA,NA
1936-06-01,NA,0.20,NA,NA,NA
1936-07-01,NA,0.15,NA,NA,NA
1936-08-01,NA,0.20,NA,NA,NA
1936-09-01,NA,0.16,NA,NA,NA
1936-10-01,NA,0.13,NA,NA,NA
1936-11-01,NA,0.11,NA,NA,NA
1936-12-01,NA,0.12,NA,NA,NA
1937-01-01,NA,0.17,NA,NA,NA
1937-02-01,NA,0.15,NA,NA,NA
1937-03-01,NA,0.38,NA,NA,NA
1937-04-01,NA,0.56,NA,NA,NA
1937-05-01,NA,0.41,NA,NA,NA
1937-06-01,NA,0.36,NA,NA,NA
1937-07-01,NA,0.28,NA,NA,NA
1937-08-01,NA,0.29,NA,NA,NA
1937-09-01,NA,0.31,NA,NA,NA
1937-10-01,NA,0.20,NA,NA,NA
1937-11-01,NA,0.09,NA,NA,NA
1937-12-01,NA,0.11,NA,NA,NA
1938-01-01,NA,0.10,NA,NA,NA
1938-02-01,NA,0.08,NA,NA,NA
1938-03-01,NA,0.08,NA,NA,NA
1938-04-01,NA,0.09,NA,NA,NA
1938-05-01,NA,0.05,NA,NA,NA
1938-06-01,NA,0.05,NA,NA,NA
1938-07-01,NA,0.07,NA,NA,NA
1938-08-01,NA,0.06,NA,NA,NA
1938-09-01,NA,0.08,NA,NA,NA
1938-10-01,NA,0.05,NA,NA,NA
1938-11-01,NA,0.04,NA,NA,NA
1938-12-01,NA,0.03,NA,NA,NA
1939-01-01,NA,0.03,NA,NA,NA
1939-02-01,NA,0.03,NA,NA,NA
1939-03-01,NA,0.03,NA,NA,NA
1939-04-01,NA,0.03,NA,NA,NA
1939-05-01,NA,0.03,NA,NA,NA
1939-06-01,NA,0.03,NA,NA,NA
1939-07-01,NA,0.04,NA,NA,NA
1939-08-01,NA,0.05,NA,NA,NA
1939-09-01,NA,0.14,NA,NA,NA
1939-10-01,NA,0.05,NA,NA,NA
1939-11-01,NA,0.05,NA,NA,NA
1939-12-01,NA,0.04,NA,NA,NA
1940-01-01,NA,0.01,NA,NA,NA
1940-02-01,NA,0.02,NA,NA,NA
1940-03-01,NA,0.02,NA,NA,NA
1940-04-01,NA,0.02,NA,NA,NA
1940-05-01,NA,0.06,NA,NA,NA
1940-06-01,NA,0.10,NA,NA,NA
1940-07-01,NA,0.05,NA,NA,NA
1940-08-01,NA,0.04,NA,NA,NA
1940-09-01,NA,0.05,NA,NA,NA
1940-10-01,NA,0.02,NA,NA,NA
1940-11-01,NA,0.02,NA,NA,NA
1940-12-01,NA,0.02,NA,NA,NA
1941-01-01,NA,0.02,NA,NA,NA
1941-02-01,NA,0.04,NA,NA,NA
1941-03-01,NA,0.11,NA,NA,NA
1941-04-01,NA,0.10,NA,NA,NA
1941-05-01,NA,0.11,NA,NA,NA
1941-06-01,NA,0.12,NA,NA,NA
1941-07-01,NA,0.12,NA,NA,NA
1941-08-01,NA,0.13,NA,NA,NA
1941-09-01,NA,0.10,NA,NA,NA
1941-10-01,NA,0.09,NA,NA,NA
1941-11-01,NA,0.28,NA,NA,NA
1941-12-01,NA,0.33,NA,NA,NA
1942-01-01,NA,0.27,NA,NA,NA
1942-02-01,NA,0.25,NA,NA,NA
1942-03-01,NA,0.25,NA,NA,NA
1942-04-01,NA,0.32,NA,NA,NA
1942-05-01,NA,0.37,NA,NA,NA
1942-06-01,NA,0.37,NA,NA,NA
1942-07-01,NA,0.38,NA,NA,NA
1942-08-01,NA,0.38,NA,NA,NA
1942-09-01,NA,0.38,NA,NA,NA
1942-10-01,NA,0.38,NA,NA,NA
